"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-0-0/1",732,"true","gen"
"2","data/0.2-0-0-0/1",901,"true","best"
"3","data/0.2-0-0-0/1",901,"twin","gen"
"4","data/0.2-0-0-0/1",752,"twin","best"
"5","data/0.2-0-0-0/10",901,"true","gen"
"6","data/0.2-0-0-0/10",783,"true","best"
"7","data/0.2-0-0-0/10",901,"twin","gen"
"8","data/0.2-0-0-0/10",686,"twin","best"
"9","data/0.2-0-0-0/11",773,"true","gen"
"10","data/0.2-0-0-0/11",549,"true","best"
"11","data/0.2-0-0-0/11",901,"twin","gen"
"12","data/0.2-0-0-0/11",599,"twin","best"
"13","data/0.2-0-0-0/12",684,"true","gen"
"14","data/0.2-0-0-0/12",875,"true","best"
"15","data/0.2-0-0-0/12",630,"twin","gen"
"16","data/0.2-0-0-0/12",901,"twin","best"
"17","data/0.2-0-0-0/13",901,"true","gen"
"18","data/0.2-0-0-0/13",901,"true","best"
"19","data/0.2-0-0-0/13",821,"twin","gen"
"20","data/0.2-0-0-0/13",901,"twin","best"
"21","data/0.2-0-0-0/14",845,"true","gen"
"22","data/0.2-0-0-0/14",901,"true","best"
"23","data/0.2-0-0-0/14",901,"twin","gen"
"24","data/0.2-0-0-0/14",901,"twin","best"
"25","data/0.2-0-0-0/15",730,"true","gen"
"26","data/0.2-0-0-0/15",776,"true","best"
"27","data/0.2-0-0-0/15",901,"twin","gen"
"28","data/0.2-0-0-0/15",901,"twin","best"
"29","data/0.2-0-0-0/16",759,"true","gen"
"30","data/0.2-0-0-0/16",901,"true","best"
"31","data/0.2-0-0-0/16",890,"twin","gen"
"32","data/0.2-0-0-0/16",901,"twin","best"
"33","data/0.2-0-0-0/17",901,"true","gen"
"34","data/0.2-0-0-0/17",652,"true","best"
"35","data/0.2-0-0-0/17",901,"twin","gen"
"36","data/0.2-0-0-0/17",901,"twin","best"
"37","data/0.2-0-0-0/18",901,"true","gen"
"38","data/0.2-0-0-0/18",647,"true","best"
"39","data/0.2-0-0-0/18",849,"twin","gen"
"40","data/0.2-0-0-0/18",895,"twin","best"
"41","data/0.2-0-0-0/19",901,"true","gen"
"42","data/0.2-0-0-0/19",839,"true","best"
"43","data/0.2-0-0-0/19",901,"twin","gen"
"44","data/0.2-0-0-0/19",901,"twin","best"
"45","data/0.2-0-0-0/2",901,"true","gen"
"46","data/0.2-0-0-0/2",821,"true","best"
"47","data/0.2-0-0-0/2",712,"twin","gen"
"48","data/0.2-0-0-0/2",901,"twin","best"
"49","data/0.2-0-0-0/20",901,"true","gen"
"50","data/0.2-0-0-0/20",714,"true","best"
"51","data/0.2-0-0-0/20",774,"twin","gen"
"52","data/0.2-0-0-0/20",901,"twin","best"
"53","data/0.2-0-0-0/21",901,"true","gen"
"54","data/0.2-0-0-0/21",901,"true","best"
"55","data/0.2-0-0-0/21",841,"twin","gen"
"56","data/0.2-0-0-0/21",572,"twin","best"
"57","data/0.2-0-0-0/22",901,"true","gen"
"58","data/0.2-0-0-0/22",901,"true","best"
"59","data/0.2-0-0-0/22",901,"twin","gen"
"60","data/0.2-0-0-0/22",901,"twin","best"
"61","data/0.2-0-0-0/23",901,"true","gen"
"62","data/0.2-0-0-0/23",888,"true","best"
"63","data/0.2-0-0-0/23",3,"twin","gen"
"64","data/0.2-0-0-0/23",833,"twin","best"
"65","data/0.2-0-0-0/24",901,"true","gen"
"66","data/0.2-0-0-0/24",775,"true","best"
"67","data/0.2-0-0-0/24",901,"twin","gen"
"68","data/0.2-0-0-0/24",620,"twin","best"
"69","data/0.2-0-0-0/25",739,"true","gen"
"70","data/0.2-0-0-0/25",901,"true","best"
"71","data/0.2-0-0-0/25",901,"twin","gen"
"72","data/0.2-0-0-0/25",668,"twin","best"
"73","data/0.2-0-0-0/26",863,"true","gen"
"74","data/0.2-0-0-0/26",510,"true","best"
"75","data/0.2-0-0-0/26",2,"twin","gen"
"76","data/0.2-0-0-0/26",878,"twin","best"
"77","data/0.2-0-0-0/27",901,"true","gen"
"78","data/0.2-0-0-0/27",901,"true","best"
