"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0-0-0/1",0.2,0,0,0,1,8,1
"2","data/0.2-0-0-0/10",0.2,0,0,0,1,8,10
"3","data/0.2-0-0-0/11",0.2,0,0,0,1,8,11
"4","data/0.2-0-0-0/12",0.2,0,0,0,1,8,12
"5","data/0.2-0-0-0/13",0.2,0,0,0,1,8,13
"6","data/0.2-0-0-0/14",0.2,0,0,0,1,8,14
"7","data/0.2-0-0-0/15",0.2,0,0,0,1,8,15
"8","data/0.2-0-0-0/16",0.2,0,0,0,1,8,16
"9","data/0.2-0-0-0/17",0.2,0,0,0,1,8,17
"10","data/0.2-0-0-0/18",0.2,0,0,0,1,8,18
"11","data/0.2-0-0-0/19",0.2,0,0,0,1,8,19
"12","data/0.2-0-0-0/2",0.2,0,0,0,1,8,2
"13","data/0.2-0-0-0/20",0.2,0,0,0,1,8,20
"14","data/0.2-0-0-0/21",0.2,0,0,0,1,8,21
"15","data/0.2-0-0-0/22",0.2,0,0,0,1,8,22
"16","data/0.2-0-0-0/23",0.2,0,0,0,1,8,23
"17","data/0.2-0-0-0/24",0.2,0,0,0,1,8,24
"18","data/0.2-0-0-0/25",0.2,0,0,0,1,8,25
"19","data/0.2-0-0-0/26",0.2,0,0,0,1,8,26
"20","data/0.2-0-0-0/27",0.2,0,0,0,1,8,27
"21","data/0.2-0-0-0/28",0.2,0,0,0,1,8,28
"22","data/0.2-0-0-0/29",0.2,0,0,0,1,8,29
"23","data/0.2-0-0-0/3",0.2,0,0,0,1,8,3
"24","data/0.2-0-0-0/30",0.2,0,0,0,1,8,30
"25","data/0.2-0-0-0/31",0.2,0,0,0,1,8,31
"26","data/0.2-0-0-0/32",0.2,0,0,0,1,8,32
"27","data/0.2-0-0-0/33",0.2,0,0,0,1,8,33
"28","data/0.2-0-0-0/34",0.2,0,0,0,1,8,34
"29","data/0.2-0-0-0/35",0.2,0,0,0,1,8,35
"30","data/0.2-0-0-0/36",0.2,0,0,0,1,8,36
"31","data/0.2-0-0-0/37",0.2,0,0,0,1,8,37
"32","data/0.2-0-0-0/38",0.2,0,0,0,1,8,38
"33","data/0.2-0-0-0/39",0.2,0,0,0,1,8,39
"34","data/0.2-0-0-0/4",0.2,0,0,0,1,8,4
"35","data/0.2-0-0-0/40",0.2,0,0,0,1,8,40
"36","data/0.2-0-0-0/5",0.2,0,0,0,1,8,5
"37","data/0.2-0-0-0/6",0.2,0,0,0,1,8,6
"38","data/0.2-0-0-0/7",0.2,0,0,0,1,8,7
"39","data/0.2-0-0-0/8",0.2,0,0,0,1,8,8
"40","data/0.2-0-0-0/9",0.2,0,0,0,1,8,9
"41","data/0.2-0-0.5-0.1/100",0.2,0,0.5,0.1,1,8,100
"42","data/0.2-0-0.5-0.1/101",0.2,0,0.5,0.1,1,8,101
"43","data/0.2-0-0.5-0.1/102",0.2,0,0.5,0.1,1,8,102
"44","data/0.2-0-0.5-0.1/103",0.2,0,0.5,0.1,1,8,103
"45","data/0.2-0-0.5-0.1/104",0.2,0,0.5,0.1,1,8,104
"46","data/0.2-0-0.5-0.1/105",0.2,0,0.5,0.1,1,8,105
"47","data/0.2-0-0.5-0.1/106",0.2,0,0.5,0.1,1,8,106
"48","data/0.2-0-0.5-0.1/107",0.2,0,0.5,0.1,1,8,107
"49","data/0.2-0-0.5-0.1/108",0.2,0,0.5,0.1,1,8,108
"50","data/0.2-0-0.5-0.1/109",0.2,0,0.5,0.1,1,8,109
"51","data/0.2-0-0.5-0.1/110",0.2,0,0.5,0.1,1,8,110
"52","data/0.2-0-0.5-0.1/111",0.2,0,0.5,0.1,1,8,111
"53","data/0.2-0-0.5-0.1/112",0.2,0,0.5,0.1,1,8,112
"54","data/0.2-0-0.5-0.1/113",0.2,0,0.5,0.1,1,8,113
"55","data/0.2-0-0.5-0.1/114",0.2,0,0.5,0.1,1,8,114
"56","data/0.2-0-0.5-0.1/115",0.2,0,0.5,0.1,1,8,115
"57","data/0.2-0-0.5-0.1/116",0.2,0,0.5,0.1,1,8,116
"58","data/0.2-0-0.5-0.1/117",0.2,0,0.5,0.1,1,8,117
"59","data/0.2-0-0.5-0.1/118",0.2,0,0.5,0.1,1,8,118
"60","data/0.2-0-0.5-0.1/119",0.2,0,0.5,0.1,1,8,119
"61","data/0.2-0-0.5-0.1/120",0.2,0,0.5,0.1,1,8,120
"62","data/0.2-0-0.5-0.1/81",0.2,0,0.5,0.1,1,8,81
"63","data/0.2-0-0.5-0.1/82",0.2,0,0.5,0.1,1,8,82
"64","data/0.2-0-0.5-0.1/83",0.2,0,0.5,0.1,1,8,83
"65","data/0.2-0-0.5-0.1/84",0.2,0,0.5,0.1,1,8,84
"66","data/0.2-0-0.5-0.1/85",0.2,0,0.5,0.1,1,8,85
"67","data/0.2-0-0.5-0.1/86",0.2,0,0.5,0.1,1,8,86
"68","data/0.2-0-0.5-0.1/87",0.2,0,0.5,0.1,1,8,87
"69","data/0.2-0-0.5-0.1/88",0.2,0,0.5,0.1,1,8,88
"70","data/0.2-0-0.5-0.1/89",0.2,0,0.5,0.1,1,8,89
"71","data/0.2-0-0.5-0.1/90",0.2,0,0.5,0.1,1,8,90
"72","data/0.2-0-0.5-0.1/91",0.2,0,0.5,0.1,1,8,91
"73","data/0.2-0-0.5-0.1/92",0.2,0,0.5,0.1,1,8,92
"74","data/0.2-0-0.5-0.1/93",0.2,0,0.5,0.1,1,8,93
"75","data/0.2-0-0.5-0.1/94",0.2,0,0.5,0.1,1,8,94
"76","data/0.2-0-0.5-0.1/95",0.2,0,0.5,0.1,1,8,95
"77","data/0.2-0-0.5-0.1/96",0.2,0,0.5,0.1,1,8,96
"78","data/0.2-0-0.5-0.1/97",0.2,0,0.5,0.1,1,8,97
"79","data/0.2-0-0.5-0.1/98",0.2,0,0.5,0.1,1,8,98
"80","data/0.2-0-0.5-0.1/99",0.2,0,0.5,0.1,1,8,99
"81","data/0.2-0-0.5-0.15/321",0.2,0,0.5,0.15,1,8,321
"82","data/0.2-0-0.5-0.15/322",0.2,0,0.5,0.15,1,8,322
"83","data/0.2-0-0.5-0.15/323",0.2,0,0.5,0.15,1,8,323
"84","data/0.2-0-0.5-0.15/324",0.2,0,0.5,0.15,1,8,324
